ลำดับ (Item No.),รายละเอียดเครื่องมือ (Description),ช่วงการวัด (Range),ความสามารถการวัด (CMC / Uncertainty),ราคาค่าบริการ (Price),หมายเหตุ (Remark),รหัสบริการ (Code),ฝ่ายงานจริง (Actual Department),ราคาตัวเลข (Price Numeric),ฝ่ายงานที่ทำนาย (Predicted Department),รหัสกลุ่มคลัสเตอร์ (Cluster ID),คำสำคัญของกลุ่มคลัสเตอร์ (Cluster Keywords)
216.0,Ammonia in Nitrogen,"20-100 µmol/mol
"," 4.0 %relative
","27,400/refill per 1 cylinder ","Cylinder Volume:  approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 660 ",12051-21401,Chemical Metrology  Department,27400.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
218.0,Nitrogen Dioxide in Nitrogen,"30 - 3,000 umol/mol",2.0% relative,"31,000/refill per cylinder","Cylinder Volumer: approx. 10 Liters
Filling Pressure: 100-120 bar
CGA Valve: 660",12051-21701,Chemical Metrology  Department,31000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
278.0,Oxygen in Nitrogen,5-30 cmol/mol,"0.25%relative
","23,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60101,Chemical Metrology  Department,23000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
284.0,Carbon Monoxide in Nitrogen,0.005 - 20 cmol/mol,"0.5%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60402,Chemical Metrology  Department,24000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
285.0,Sulfur Dioxide in Nitrogen,100 -5 000 µmol/mol,"0.7%relative
","27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60501,Chemical Metrology  Department,27600.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
286.0,Sulfur Dioxide in Nitrogen,30 - 100 µmol/mol,1.2% relative,"27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60502,Chemical Metrology  Department,27600.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
287.0,Propane in Nitrogen,0.001- 1 cmol/mol,"0.7%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60601,Chemical Metrology  Department,24000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
288.0,Nitrogen Monoxide in Nitrogen,50 - 5 000 µmol/mol,"0.7%relative
","27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60701,Chemical Metrology  Department,27600.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
2542.0,Nitrogen monoxide in Nitrogen,"10 -5,000 ?mol/mol",(0.5-0.7)% relative,"27,600/cylinder",Cylinder Volume: approx. 10 Liters,12051-60701,Chemical Metrology  Department,27600.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
289.0,Nitrous Oxide in Nitrogen,0.05-10 cmol/mol,"0.7%relative
","27,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-60801,Chemical Metrology  Department,27600.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
290.0,"Carbon monoxide, Carbon dioxide in Nitrogen",1-15 cmol/mol,"0.5%relative
","28,800/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-61001,Chemical Metrology  Department,28800.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
291.0,Hydrogen Sulfide in Nitrogen,25 - 100 µmol/mol,2.5% relative,"30,600/cylinder",Cylinder Volume:  approx. 10 Liters ,12051-61101,Chemical Metrology  Department,30600.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
296.0,"Particulate Matter as PM2.5, PM10  (Analysis)",0 - 500  µg/m3,As air volume specification (³2.0 %relative),"2,700/3 filter samples-47mm",By gravimetric analyis of filter sample ,12051-65001,Chemical Metrology  Department,2700.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
297.0,Organic and Elemental Carbon (OC/EC) in Particulate Matter,0 - 200  µg C/m3,As air volume specification (³2.0 %relative),"2,100/3 filter samples",By thermal-optical analyis of filter sample ,12051-65101,Chemical Metrology  Department,2100.0,Chemical Metrology  Department,0,"gauge, calibration, testing, machine, laser"
7.0,Oxygen Detector,18 - 23 cmol/mol,? 1.0%,"3,000/item ",1-point calibration,12052-10102,Chemical Metrology  Department,3000.0,Chemical Metrology  Department,6,"measurement, detector, additional, frequency, irradance"
9.0,Carbon Dioxide Detector,0.005-20 cmol/mol,? 1.0%,"3,000/item ",1-point calibration,12052-10202,Chemical Metrology  Department,3000.0,Chemical Metrology  Department,6,"measurement, detector, additional, frequency, irradance"
11.0,Methane Detector,"2.2 -2.5 cmol/mol 
",? 1.0%,"3,000/item ",1-point calibration,12052-10302,Chemical Metrology  Department,3000.0,Chemical Metrology  Department,6,"measurement, detector, additional, frequency, irradance"
13.0,Carbon Monoxide Detector,50 - 65000 µmol/mol,? 1.0%,"3,000/item ",1-point calibration,12052-10402,Chemical Metrology  Department,3000.0,Chemical Metrology  Department,6,"measurement, detector, additional, frequency, irradance"
201.0,Carbon Dioxide in Nitrogen,0.005-20 cmol/mol,1.0 %relative,"20,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12052-20203,Chemical Metrology  Department,20000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
202.0,Methane in Nitrogen,0.005-50 cmol/mol,0.5%relative,"30,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12052-20301,Chemical Metrology  Department,30000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
203.0,Methane in Nitrogen,0.005-50 cmol/mol,1.0%relative,"20,000 refill per 1 cylinder","Cylinder volume: 10 Liters,
Filling Pressure :100-120 bar
CGA Valve: 580",12052-20303,Chemical Metrology  Department,20000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
283.0,Carbon Monoxide in Nitrogen,5-100 µmol/mol,"1.0%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12052-60401,Chemical Metrology  Department,24000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
6.0,Oxygen  Analyzer,0.001 -30 cmol/mol,? 1.0%,"11,500/item",3-point calibration,12053-10101,Chemical Metrology  Department,11500.0,Chemical Metrology  Department,0,"gauge, calibration, testing, machine, laser"
8.0,Carbon Dioxide Analyzer,0.005-20 cmol/mol,? 1.0%,"11,500/item",3-point calibration,12053-10201,Chemical Metrology  Department,11500.0,Chemical Metrology  Department,0,"gauge, calibration, testing, machine, laser"
10.0,Methane  Analyzer,0.005-20 cmol/mol,? 1.0%,"11,500/item",3-point calibration,12053-10301,Chemical Metrology  Department,11500.0,Chemical Metrology  Department,0,"gauge, calibration, testing, machine, laser"
12.0,Carbon Monoxide  Analyzer,50 - 65000 µmol/mol,? 1.0%,"11,750/item",3-point calibration,12053-10401,Chemical Metrology  Department,11750.0,Chemical Metrology  Department,0,"gauge, calibration, testing, machine, laser"
282.0,Methane in Nitrogen,0.05-50 cmol/mol,"0.5%relative
","
24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12053-60301,Chemical Metrology  Department,24000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
281.0,Carbon Dioxide in Nitrogen,0.05-20 cmol/mol,"0.5%relative
","24,000/cylinder",Cylinder Volume:  approx. 10 Liters ,12054-60201,Chemical Metrology  Department,24000.0,Chemical Metrology  Department,3,"nitrogen, oxygen, carbon, dioxide, monoxide"
190.0,Chloramphenicol in freeze dried prawn,0.74 ng/g,12% relative,"4,000 baht/bottle",,1211-20610,Chemical Metrology  Department,4000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
7.0,Luminous flux of a tungsten lamp,5 lm to 9 000 lm,0.0089,18000,"Gonio-photometer
(CCT: 2 000 K to 3 400 K)",13010-11031,Thermometry Metrology Department,18000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
8.0,Luminous flux of an LED,5 lm to 9 000 lm,0.012,18000,"Gonio-photometer
(Geometric measurement conditions: full, peak wavelength: white)",13010-11032,Thermometry Metrology Department,18000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
55.0,Spectral radiant flux of a tungsten lamp,0.001 W/nm to 0.07 W/nm,"3.4% to 2.8%
(360 nm to 395 nm)
2.8% to 3.6%
(395 nm to 830 nm)","20,000
(+ 500 for total radiant flux)","Gonio-spectroradiometer and integrating sphere
(Geometric measurement conditions: full)",13010-13051,Thermometry Metrology Department,20000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
56.0,Total radiant flux of a tungsten lamp,5 W to 20 W,0.016,20000,"Gonio-spectroradiometer and integrating sphere
(Geometric measurement conditions: full, wavelength range: 360 nm to 830 nm)",13010-15080,Thermometry Metrology Department,20000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
1.0,Luminous intensity of a tungsten lamp,"10 cd ? I? ? 3 000 cd
2 000 K ? CCT ? 3 400 K",0.98%,15000,Detector-based method against a set of reference photometer ,13011-11011,Thermometry Metrology Department,15000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
6.0,Illuminance responsivity of an illuminance meter or a lux meter,"2  lx ? E? ? 70 lx  (range 1)
70  lx ? E? ? 1 400 lx  (range 2)
1 200  lx ? E? ? 10 000 lx  (range 3)
10 000  lx < E? ? 30 000 lx  (range 4)

2 000 K ? CCT ? 3 400 K","0.91% (range 1, 2, 3)
1.2% (range 4, 5)
 varied with illuminance level","5,000 for the first range + 2,500 for any additional range 2, 3, 4
(5 calibration points per range)",Detector-based comparison against reference photometers,13011-11021,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,7,"meter, power, phase, ac, wattmeter"
2513.0,Illuminance responsivity of an illuminance meter or a lux meter (LED source),1 000 lx < Eu <120 000 lx5 780 K < CCT < 5 930 K,1.2% (1000 lx ? Eu? 10000 lx)1.6% (10000 lx < Eu ? 120000 lx)varied with illuminance level,"15,000 (15 calibration points)",Detector-based comparison against reference photometers using LED source,13011-11022,Thermometry Metrology Department,15000.0,Thermometry Metrology Department,7,"meter, power, phase, ac, wattmeter"
14.0,Luminance responsivity of a luminance meter,"0.100 0 cd/m2 ? L? ? 43 000 cd/m2
2 000 K ? CCT ? 3 400 K",0.0091,"30,000 for a set of 30 calibration points covering 5 decades",Detector-based comparison against a set of two reference photometers with precision aperture,13011-11060,Thermometry Metrology Department,30000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
13.0,Luminance of a luminance source,"0.100 0 cd/m2 ? L? ? 199 900 cd/m2
2 000 K ? CCT ? 6 500 K",0.011,"10,000 for the first calibration point + 8,000 for any additional point","Direct measurement by NIMT’s reference
luminance meter",13012-11051,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
15.0,Luminance responsivity of a luminance meter,"1 cd/m2 ? L? ? 49 000 cd/m2
3 000 K ? CCT ? 6 000 K",0.017,"4,000 for the first calibration point + 1,500 for any additional point within the same range and approximately same CCT (± 50 K)",Comparison method against the reference luminance meter under the solar spectrum uniform source system,13012-11060,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
2.0,Luminous intensity of an incandescent lamp,"10 cd ? I? ? 3 000 cd
2 000 K ? CCT ? 3 400 K",0.66%,"18,750 for the first lamp + 
8,500 for any additional lamp of the same type ",Substitution method against two national reference standard lamps,13015-11011,Thermometry Metrology Department,18750.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
4.0,Illuminance responsivity of a photo-detector head,"12 lx ? E? ? 300 lx
2 000 K ? CCT ? 3 400 K",0.70%,6250,Source-based measurements using national reference standard lamps applying the inverse-square law.,13015-11021,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,6,"measurement, detector, additional, frequency, irradance"
9.0,Luminous flux of a tungsten lamp,5 lm to 9 000 lm,1.10%,"13,000 for the first lamp +
7,000 for any additional lamp of the same type","Integrating sphere
(CCT: 2 000 K to 3 400 K)",13015-11031,Thermometry Metrology Department,13000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
10.0,Luminous flux of an LED,5 lm to 9 000 lm,1.30%,"13,000 for the first lamp +
7,000 for any additional lamp of the same type","Integrating sphere
(Geometric measurement conditions: full, peak wavelength: white)",13015-11032,Thermometry Metrology Department,13000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
12.0,Luminous flux of a linear fluorescent lamp,800 lm to 4 000 lm,1.20%,"13,000 for the first lamp +
7,000 for any additional lamp of the same type","Integrating sphere
(CCT: 2 600 K to 6 200 K)",13015-11033,Thermometry Metrology Department,13000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
17.0,Correlated color temperature of a general source,"2 600 K to 3 200 K (tungsten lamp)
2 600 K to 7 500 K (discharge lamp, LED)","19 K (tungsten lamp)
23 K to 79 K (discharge lamp, LED)",6500,Spectroradiometer and integrating sphere,13015-15021,Thermometry Metrology Department,6500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
66.0,Spectral diffuse/hemispherical reflectance of a spectrally-neutral material,30 % to 100 %,"2.2 % to 1.4 %
(diffuse: 400 nm to 470 nm
hemispherical: 400 nm to 430 nm)

1.4 % to 1.3 %
(diffuse: 470 nm to 700 nm
hemispherical: 430 nm to 700 nm)","10,000",Spectrophotometer,13015-34051,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
3.0,Luminous intensity of an incandescent lamp,"10 cd ? I? ? 3 000 cd
2 000 K ? CCT ? 3 400 K",0.83%,"12,500 for the first lamp + 
6,250 for any additional lamp of the same type",Substitution method against two working standard lamps,13016-11011,Thermometry Metrology Department,12500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
5.0,Illuminance responsivity of a photo-detector head,"12 lx ? E? ? 300 lx
2 000 K ? CCT ? 3 400 K",0.80%,3130,Source-based measurements using working standard lamps applying the inverse-square law.,13016-11021,Thermometry Metrology Department,3130.0,Thermometry Metrology Department,6,"measurement, detector, additional, frequency, irradance"
18.0,"Regular spectral transmittance of a transmitting filter or film.  
Measured transmittance values will be reported at 10 nm interval from 200 nm to 900 nm and 50 nm interval from 900 nm to 2 500 nm.","31.6% < %T ? 97.7% 
(0.01 ? OD < 0.5)",200 nm to 2000 nm: Greater than or equal to 0.48% ,"6,250/sample for full range 
(UV-VIS-NIR)
3,750/sample for half range
(UV-VIS or VIS-NIR)
3,750/sample","By comparison against a reference  ND filters using the reference spectrophotometer.
Measurement uncertainties shown are percent relative of transmittance values and they are varied by wavelengths and dependent of UCC.",13025-14011,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
19.0,Diffuse spectral transmittance of a diffusely transmitting material,380 nm to 780 nm,"For 20% haze plate, typical uncertainties in diffuse spectral transmittance are 0.13% to 0.18% throughout the spectrum ","4,000/sample",Direct measurement by single-beam reference spectrophtometer ,13025-14021,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
20.0,"Specular excluded spectral diffuse reflectance of a glossy color sample (8o:de)  
Measured diffused reflectance values will be reported at 5 nm interval from 380 nm to 780 nm.",0% < %R ? 10%,0.0003,"6,250 for the first piece
+ 3,750 for any additional piece
Fee will be scaled down for selected partial wavelength range.","By comparison against a reference glossy ceramic color standard using the reference spectrophotometer with integrating sphere accessory.
Measurement uncertainties shown are percent relative of reflectance values and they are varied by wavelengths and dependent of UCC.",13025-14051,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
24.0,Regular spectral reflectance,"5 ? %R ? 100% 
200 nm ? l ? 2 500 nm at 5 nm interval","0.32% to 0.42% for the wavelength range from 200 nm to 885 nm
1.0% to 1.4% for the wavelength range from 890 nm to 2 500 nm
*Typical values for a high reflective aluminum mirror.  Uncertainties for other materials are likely higher.","11,250 for full-range.
Price for partial-range will be scaled down accordingly.",Absolute method by a double-subtractive double-beam spectrophotometer (Perkin-Elmer Lambda 1050) equipped with a variable-angle reflectance accessory (URA),13025-14061,Thermometry Metrology Department,11250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
22.0,"Specular included spectral diffuse reflectance of a glossy color sample (8o:di) 
Measured diffused reflectance values will be reported at 5 nm interval from 380 nm to 780 nm.",0% < %R ? 10%,0.0030 to 0.0022,"6,250 for the first piece
+ 3,750 for any additional piece
Fee will be scaled down for selected partial wavelength range.","By comparison against a reference glossy ceramic color standard using the reference spectrophotometer with integrating sphere accessory.
Measurement uncertainties shown are percent relative of reflectance values and they are varied by wavelengths and dependent of UCC.",13025-14071,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
25.0,"Wavelength calibration of a transmitted wavelength standard (holmium oxide solution, holmium oxide filter, dydimium oxide filter etc.)",200 nm to 2 500 nm,200 nm to 700 nm: 0.19 nm,"2,500 for first peak identification + 1,250 for any additional peak ",Measurement by reference spectrometer,13025-14150,Thermometry Metrology Department,2500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
26.0,Wavelength calibration of a reflectance wavelength standard (holmium oxide doped ceramic tile etc.),200 nm to 2 500 nm,200 nm to 700 nm: 0.19 nm,"3,750 for first peak identification + 1,250 for any additional peak ",Measurement by reference spectrometer with integrating sphere accessory,13025-14151,Thermometry Metrology Department,3750.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
57.0,"Surface color of general reflecting material, x, y, Y, u', v', L*, a*, b*",-,"Varied by parameter of interest  and color of UUC, please contact a laboratory staff for full details.","For general material: 7,500 THB for the first piece and 4,000 THB for an additional piece. 
For a set of color standards:
7,500 THB for the first piece and 2,000 THB for an additional piece.",Spectral diffuse reflectance measurement by single-beam substitution method against a reference color standard,13025-16010,Thermometry Metrology Department,7500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
59.0,Transmitted color of a transmitting material,360 nm to 860 nm,Values and uncertainties vary depending on sample's color. ,"3,500/sample",Direct measurement by single-beam reference spectrophtometer ,13025-16030,Thermometry Metrology Department,3500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
60.0,Haze and luminous transmittance of a diffusely transmitting material,380 nm to 780 nm,"For 20% haze plate, typical uncertainty in transmission haze is 0.16%.","5,000/sample",Based on ASTM D1003 standard method,13025-16070,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
61.0,Whiteness and Tint,"380 nm to 780 nm
W greater than 40 and less than 5Y-280",1.5,"6,500/sample",Spectral diffuse reflectance measurement by single-beam substitution method against a reference white diffuse reflectance standard,13025-16120,Thermometry Metrology Department,6500.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
74.0,"ND Filter (OD0.1, OD0.4, OD1.0)",380 nm to 780 nm,"Spectral regular transmittance
0.74% to 0.86% for OD0.1
0.86% to 1.2% for OD0.4
T<10%, Uabs = 0.29% and T³10%, Urel = 3.1% for OD1.0","10,000/sample",Comparison using the reference spectrophotometer.,13025-34011,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
75.0,Holmium oxide glass filter,240 nm to 640 nm,Uabs = 0.20 nm,"17,500 for 4 peaks  identification + 1,250 for any additional peak",Comparison using the reference spectrophotometer.,13025-34150,Thermometry Metrology Department,17500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
27.0,Regular transmittance responsivity of transmission meter and tint meter,0% < %T ? 100% ,2%,6250,"By comparison against working standard ND filters at the nominal optical density values of 0.1, 0.3, 0.5 and 1.0.",13026-14011,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,7,"meter, power, phase, ac, wattmeter"
21.0,"Specular excluded spectral diffuse reflectance of a matte color sample (8o:de)
Measured diffused reflectance values will be reported at 5 nm interval from 380 nm to 780 nm.",0% < %R ? 10%,0.0003,"6,250 for the first piece
+ 3,750 for any additional piece
Fee will be scaled down for selected partial wavelength range.","By comparison against a reference matte ceramic color standard using the reference spectrophotometer with integrating sphere accessory.
Measurement uncertainties shown are percent relative of reflectance values and they are varied by wavelengths and dependent of UCC.",13026-14051,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
23.0,"Specular included spectral diffuse reflectance of a matte color sample (8o:di)
Measured diffused reflectance values will be reported at 5 nm interval from 380 nm to 780 nm.",0% < %R ? 10%,0.0030 to 0.0022,"6,250 for the first piece
+ 3,750 for any additional piece
Fee will be scaled down for selected partial wavelength range.","By comparison against a reference matte ceramic color standard using the reference spectrophotometer with integrating sphere accessory.
Measurement uncertainties shown are percent relative of reflectance values and they are varied by wavelengths and dependent of UCC.",13026-14071,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
58.0,"Surface Color Responsivity of Colorimeter, x, y, Y, u', v', L*, a*, b*",380 nm to 780 nm,Varied by parameter of interest  and color of standard.,6250,Direct measurement by using the basic color checked standard,13026-16010,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
31.0,Power responsivity of a trap detector,Power level: < 1 mW,"0.026% (power responsivity)
0.087% (spectral responsivity)","35,000 per wavelength point
+ 10,000 for spectral responsivity","- The power responsivity is calibrated against a cryogenic radiometer at laser wavelengths (406.7 nm, 413.1 nm, 476.2 nm, 530.9 nm, 568.2 nm, 632.8 nm, 647.1 nm, 799.3 nm)
- Spectral responsivity scale is  interpolated between the laser wavelengths based ",13030-12040,Thermometry Metrology Department,35000.0,Thermometry Metrology Department,6,"measurement, detector, additional, frequency, irradance"
2512.0,Spectral responsivity of a broadband detector,Wavelength: 400 nm ? l ? 800 nmPower level: 4.8 nW to 2.6 mW,0.25% to 0.22%,"20,000 for 10 nm step, 
30,000 for 5 nm step",Comparison agianst two reference trap-detectors under monochromatic radiation,13031-12011,Thermometry Metrology Department,20000.0,Thermometry Metrology Department,6,"measurement, detector, additional, frequency, irradance"
46.0,Measurement of linearity response of a photo-detector," At discrete wavelengths from 200 nm to 2 500 nm
Beam size ranges from 25 micron to 5 mm","200 nm to 400 nm: 
± 0.1%
400 nm to 2 500 nm: ± 0.05% ","4,375 for one combination of wavelength and beam size of one photo-detector",Flux superposition method,13032-12900,Thermometry Metrology Department,4375.0,Thermometry Metrology Department,6,"measurement, detector, additional, frequency, irradance"
47.0,Measurement of uniformity of response of a photo-detector," At discrete wavelengths from 200 nm to 2 500 nm
Beam size ranges from 25 micron to 5 mm","200 nm to 400 nm: 
± 0.2%
400 nm to 2 500 nm: ± 0.1% ","6,250 for  one combination of wavelength and beam size of one photo-detector",x-y linear scan,13032-12910,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,6,"measurement, detector, additional, frequency, irradance"
34.0,Intregrated irradiance responsivity of broadband radiometer,"315 nm to 400 nm
(UVA )",4.40%,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12090,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
35.0,Intregrated irradiance responsivity of broadband radiometer,"280 nm to 315 nm
(UVB)",6.30%,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12091,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
36.0,Intregrated irradiance responsivity of broadband radiometer,"280 nm to 400 nm
(UVA+UVB)",6.00%,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12092,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
41.0,UVC irradiance responsivity of an UVC radiometers,"Wavelength: 240 nm to 270 nm
Irradiance level: 2 mW?cm-2 to 20 W?m-2
(Standard points: 2, 40, 160, 225, 350, 450, and 500 mW?cm-2)","3.1%, varied by DUT and irradiance level","8,750 THB / fisrt point + 2,500 THB / for additional standard point(s) + 4,375 THB / for additional point(s)","Source based calibration against a
reference spectroradiometer using low
pressure Hg lamps as calibration source with ND filters",13034-12093,Thermometry Metrology Department,8750.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
42.0,Erythemally Weighted Effective Global Solar UV Irradiance Responsivity of a UVE Radiometer/UV Index Meter,"0.012 W?m-2 ? Eer ? 0.500 W?m-2
250 nm ? l ? 400 nm","8.8 % to 9.3 %
 varied with effective irradiance level and DUT","6,250 for the first point + 3,750 for any additional point
",Source based comparison against working standard spectroradiometer by using a properly filtered Xe discharge lamp as the calibration light source,13034-12095,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Integrated Irradiance Responsivity of a Bilirubin Phototherapy Radiometer,"""1.0 mW?cm-2?nm-2 ? Eb (l) ? 20.0 
mW?cm-2?nm-2
425 nm ? l ? 475 nm
(Based on AAP CPG)""
","""2.2 %
 varied with mean spectral irradiance level and DUT""
","6,250 for the first level 
point + 3,750 for any additional 
level poin","""Source based calibration against a working standard spectroradiometer 
by using a 445 nm blue LED panel 
light source as the calibration light source""


",13034-12096,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Integrated Irradiance Responsivity of a Bilirubin Phototherapy Radiometer,"""50.0 mW?cm-2 ? Eb ? 750.0 mW?cm-2
400 nm ? l ? 500 nm
(Other CPGs)""
","""2.1 %
 varied with irradiance level and DUT""
","6,250 for the first level 
point + 3,750 for any additional 
level poin","""Source based calibration against a working standard spectroradiometer 
by using a 445 nm blue LED panel 
light source as the calibration light source""


",13034-12096,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Integrated Irradiance Responsivity of a Bilirubin Phototherapy Radiometer,"""50.0 mW?cm-2 ? Eb ? 1 000.0 mW?cm-2
400 nm ? l ? 550 nm
(Based on IEC 60601-2-50)""
","""2.2 %
 varied with irradiance level and DUT""
","6,250 for the first level 
point + 3,750 for any additional 
level poin","""Source based calibration against a working standard spectroradiometer 
by using a 445 nm blue LED panel 
light source as the calibration light source""


",13034-12096,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
37.0,Intregrated irradiance responsivity of broadband radiometer,Arbitary range within 280 nm to 1 020 nm,Varied by selected range,"6,250 per probe for the first irradiance level point
+ 3,130 for any additional irradiance level point",Source based calibration against a reference spectroradiometer using filtered 500 W Hg(Xe) as light source,13034-12099,Thermometry Metrology Department,6250.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
